sample	amp1	amp2	amp3	amp4	amp5	amp6	amp7	amp8	amp9	amp10	amp11	amp12	amp13	amp14	amp15	amp16	amp17	amp18	amp19	amp20	amp21	amp22	amp23	amp24	amp25	amp26	amp27	amp28	amp29
22COV-RDC-208	1151.6529541	1965.4620361	362.536438	2200.9284668	1601.9688721	1512.9210205	1529.0794678	4145.9916992	3050.4182129	575.1898193	1454.7904053	1376.7645264	1831.989502	3521.2241211	3008.5231934	731.5927734	1432.0310059	1489.8028564	2987.855957	1989.6571045	1775.5994873	363.8572998	2567.6655273	377.0588684	1149.711792	1781.1069336	2602.8024902	9.1430397	1520.6097412
22COV-RDC-221	642.0363159	599.2605591	60.2038727	836.0615234	681.5708618	382.8365784	595.286499	1544.1760254	939.4248657	45.7423134	609.8632202	459.9276123	762.6881104	1540.0750732	1341.9741211	198.925766	407.388031	527.6223145	1157.9885254	424.8605652	691.9604492	78.6962051	1083.7781982	100.7115784	454.9119568	573.8899536	1030.2038574	0.0204342	811.3797607
22COV-RDC-355	1260.0478516	2760.7458496	281.4589844	2724.2341309	982.6361694	2028.6147461	1200.2059326	4104.6821289	2382.8986816	867.449646	1521.3604736	1558.3374023	1760.3762207	3586.9064941	2368.5666504	1523.9831543	1472.0144043	1267.7827148	2614.3122559	1689.1291504	1727.7877197	673.9470825	1966.7163086	191.2814331	1348.6624756	1803.9119873	2541.6062012	18.6360149	2541.6794434
22COV-RDC-368	901.0095825	1701.9968262	39.8052406	2121.7680664	779.5819092	798.0183716	871.1699219	3238.4226074	2286.9804688	200.4432678	1458.4440918	1192.2987061	1875.7597656	3138.8747559	2033.6804199	654.3250732	1157.260498	1108.9976807	2794.1047363	770.4320068	1249.9221191	258.6167908	1285.7626953	97.566864	1014.111084	1483.388916	3090.1013184	3.9514687	2570.2036133
22COV-RDC-635	344.6357422	7146.112793	1005.3337402	6947.0649414	495.04422	7112.609375	4106.8564453	12872.9091797	8760.0859375	306.26828	4977.2485352	6574.8183594	4323.7387695	4034.1337891	6882.2822266	6301.8505859	3938.4057617	4962.5830078	6575.3076172	9722.0615234	30.1354923	3640.6755371	5489.0605469	2559.6525879	2904.8271484	7064.8027344	4814.5229492	101.6590042	4914.4321289
22COV-RDC-640	327.9378662	5387.8227539	815.2312012	5373.0463867	736.8170776	5279.25	3043.0512695	9407.9404297	6691.5273438	536.1929932	3957.0227051	4633.6259766	3452.3066406	3454.0522461	5797.4775391	4879.2348633	3313.4589844	3988.2006836	5581.6933594	7580.2729492	66.916069	3014.9240723	4580.1425781	2157.0090332	2461.5009766	6525.9970703	3706.4821777	96.8761139	3547.5742188
22COV-RDC-650	270.2399597	4999.2353516	942.4407959	4698.9428711	603.8040161	6389.1049805	2491.251709	8616.4375	5096.6821289	832.7752075	3283.6708984	4389.1210938	2648.9831543	3462.5146484	4488.5996094	4701.137207	2656.7827148	3060.1542969	4232.0712891	7763.1098633	28.720623	3520.3625488	4182.1137695	2627.340332	1889.9915771	5623.9707031	3264.7766113	168.6896515	3246.5598145
22COV-RDC-781	24.3183556	338.0822754	109.9214096	266.6714172	65.6522598	309.9047546	162.004364	294.2406006	177.2952118	58.9512177	97.024971	202.5575867	127.7481537	122.3253555	171.8221283	164.2204742	103.7472305	126.812355	171.7822571	292.3725586	2.9796164	176.9470673	188.6401825	131.2465057	77.2651978	178.5366821	173.875946	86.8697281	637.2036743
22COV-RDC-782	68.5726547	749.2763672	298.3394165	930.053833	167.9457245	642.4274902	279.1775513	719.2946167	394.4183044	112.8950195	308.7578735	435.2211914	348.3435059	295.514679	364.9172668	419.5410461	332.9733887	337.2624817	451.5841064	488.5428467	4.9304557	321.8388977	599.7770386	217.839325	241.6477966	569.8500977	293.8996887	9.1711369	749.4034424
22COV-RDC-806	62.0353737	943.9736328	273.9339294	1227.5142822	186.3396912	855.6439209	240.2548981	964.6490479	297.3997803	180.9130402	267.104248	608.5158081	259.0663757	343.9412537	245.9245148	579.2058716	226.6718445	474.5332642	409.4711914	821.3942871	0	521.4522705	518.760498	291.8582764	217.5702362	655.4287109	233.6871643	6.4010215	328.3836975
22COV-RDC-818	36.2581253	438.3059082	183.0489807	513.293396	121.866333	263.8084412	237.2145996	486.6572876	283.3899841	66.1940613	179.8164978	195.9561615	191.8134918	192.3830261	270.8190308	261.0776062	166.3835907	209.1235199	312.9481506	434.0091553	5.3453236	149.8952789	373.650116	129.4001923	172.0188751	503.0650024	190.2891083	60.3793106	747.3258667
22COV-RDC-903	153.2160645	475.181427	344.6480713	454.0109863	180.4884491	373.3777161	429.6045837	638.5821533	1054.3387451	183.9830322	390.0010986	234.4189606	560.0927124	188.6463623	851.7042236	301.2148438	545.2406006	227.4786224	712.0852661	632.9920044	32.9964027	83.4936676	954.5110474	173.4950104	417.7044067	378.0796509	513.4066772	23.9016609	368.1984253
22COV-RDC-912	325.6414795	621.7194214	410.6378174	590.9373779	240.9065399	390.1612549	764.8551025	882.4659424	1813.2821045	245.5843048	765.2280273	237.8002014	1145.6912842	250.4515839	1574.7404785	331.0517578	1028.9667969	291.1959534	1381.8203125	743.4811401	41.2218208	90.0299225	1661.1611328	144.9381256	897.9308472	520.539856	855.7637329	9.1928482	823.0368042
